Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
253,Rampage,428028233,101028233,0.2360317035441912,327000000,0.7639682964558088,2018
254,The Matrix Revolutions,427343298,139313948,0.32600007687496246,288029350,0.6739999231250375,2003
255,The Intouchables,426588510,10198820,0.023907863810021513,416389690,0.9760921361899785,2011
256,Bad Boys for Life,426505244,206305244,0.4837109200936343,220200000,0.5162890799063657,2020
257,Django Unchained,425368238,162805434,0.38273998727662406,262562804,0.6172600127233759,2012
258,The King's Speech,423999102,135453143,0.3194656365097679,288545959,0.6805343634902321,2010
259,"My People, My Homeland",422390820,0,0.0,422390820,1.0,2020
260,The Chronicles of Narnia: Prince Caspian,419665568,141621490,0.33746273413595845,278044078,0.6625372658640415,2008
261,Sex and the City,418765321,152647258,0.3645174286053166,266118063,0.6354825713946833,2008
262,The Captain,417282021,706572,0.0016932720904359309,416575449,0.9983067279095641,2019
263,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,0.25111958427045944,311299267,0.7488804157295406,2010
264,Jason Bourne,415484914,162434410,0.39095140287091146,253050504,0.6090485971290885,2016
265,The Wolverine,414828246,132556852,0.3195463502743253,282271394,0.6804536497256747,2013
266,Kingsman: The Secret Service,414351546,128261724,0.3095480763573644,286089822,0.6904519236426355,2015
267,Night at the Museum: Battle of the Smithsonian,413106170,177243721,0.4290512557582957,235862449,0.5709487442417043,2009
268,Pacific Rim,411002906,101802906,0.24769388370212642,309200000,0.7523061162978736,2013
269,Kingsman: The Golden Circle,410902662,100234838,0.24393815681826855,310667824,0.7560618431817314,2017
270,The Mummy,409231607,80227895,0.196045206742792,329003712,0.803954793257208,2017
271,Ice Age: Collision Course,408579038,64063008,0.15679465180981703,344516030,0.843205348190183,2016
272,Signs,408247917,227966634,0.5584024425040728,180281283,0.44159755749592716,2002
273,X2: X-Men United,407711549,214949694,0.5272102164562427,192761855,0.4727897835437573,2003
274,Twilight,407187715,192769854,0.47341765701354716,214417861,0.5265823429864528,2008
275,The Battle at Lake Changjin,405000000,0,0.0,405000000,1.0,2021
276,Alita: Battle Angel,404980543,85838210,0.21195638033405473,319142333,0.7880436196659453,2019
277,The Mummy: Tomb of the Dragon Emperor,403449830,102491776,0.2540384661954127,300958054,0.7459615338045873,2008
278,Prometheus,403354469,126477084,0.3135631156227502,276877385,0.6864368843772498,2012
279,Shang-Chi and the Legend of the Ten Rings,401556765,212456765,0.529082768659121,189100000,0.47091723134087904,2021
280,TRON: Legacy,400062763,172062763,0.4300894232438224,228000000,0.5699105767561776,2010
281,Mission: Impossible III,398479497,134029801,0.33635306711903423,264449696,0.6636469328809658,2006
282,Snow White and the Huntsman,396592829,155332381,0.39166714484391246,241260448,0.6083328551560876,2012
283,Mamma Mia! Here We Go Again,395044706,120634935,0.3053703369967449,274409771,0.6946296630032551,2018
284,Solo: A Star Wars Story,392924807,213767512,0.5440417815106289,179157295,0.4559582184893712,2018
285,The Wolf of Wall Street,392000694,116900694,0.2982155281592435,275100000,0.7017844718407565,2013
286,Superman Returns,391081192,200081192,0.5116103665757468,191000000,0.48838963342425323,2006
287,Independence Day: Resurgence,389681935,103144286,0.26468839516514925,286537649,0.7353116048348508,2016
288,Live Free or Die Hard,388156011,134529403,0.34658590666524547,253626608,0.6534140933347545,2007
289,Monster Hunt,387053506,32766,8.465496240718718e-05,387020740,0.9999153450375928,2015
290,Godzilla: King of the Monsters,386600138,110500138,0.2858253971963145,276100000,0.7141746028036855,2019
